剧名称,group_title,发弹幕时刻相对于视频起始时间偏移量,累计点赞数,弹幕内容
那年冬至,第3集,73858,0,[笑哭][笑哭][笑哭]
家里家外,第1集,91380,0,看2前先把1温习一下[笑哭]
幸得相遇离婚时,第2集,107962,1,以为老刘脱自己的外套呢
家里家外,第1集,5471,0,二刷
那年冬至,第5集,14747,0,很用心作的一部剧 好看
那年冬至,第5集,70613,0,确定这辈子都不叫吗？
家里家外,第1集,96351,0,好看吗
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,184057,8,笑不活了[捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,127513,0,[没看够]
那年冬至,第4集,77674,0,“吓死宝宝了”哈哈哈哈哈
那年冬至,第1集,87982,0,期待已久了
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,63056,0,还小王子，我呸。
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,92171,0,哈哈哈哈哈婴儿油
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,84716,0,看到这一幕想起了一部剧年轻小伙爱上大妈
十八岁太奶奶驾到，重整家族荣耀第三部,第4集,89831,36,现在的技术，孩子在肚子里也可以做DNA检测吧。
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,129841,0,[捂脸][捂脸]
天下第一纨绔,第3集,100731,0,捧杀
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,201466,0,[爱心][爱心][爱心]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,187570,0,哈哈哈
北往,第3集,138891,0,[捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,221914,0,笑死我了
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,27100,0,这个bgm[笑哭][笑哭]
北往,第5集,133729,15,忍不住笑[笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,105423,0,救命[捂脸]
撕夜,第3集,43628,0,[没看够][没看够][没看够][没看够][没看够][没看够][没看够][没看够][没看够][没看够]
北往,第4集,24802,0,晦气呀
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,194865,0,哈哈哈哈要相信光[送花][害羞][害羞][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,223309,0,俺不中
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,22242,0,傻了[恐惧]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,170053,0,八十岁的大孩子，哈哈哈
荒年全村啃树皮，我有系统满仓肉,第2集,49507,0,剧组是挺好看，不过是现代的
北往,第2集,61541,1,太帅了
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,13409,0,终于上了
家里家外,第3集,53764,0,冲着这方言来的[捂脸][爽]
撕夜,第1集,108070,2,前方高能
天下第一纨绔,第3集,100106,0,后母故意养废的
撕夜,第1集,10212,0,听他们说很好看，我也来看了。我是鹿单东的粉丝
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,4447,0,终于来了
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,15919,0,人怎么能可爱成这样呢[爱慕][爱慕]
天下第一纨绔,第5集,42148,1,[笑哭][笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部,第5集,78235,0,好啊
那年冬至,第1集,111534,0,主要还有五千万可以拿
那年冬至,第3集,56501,0,[没看够][没看够][没看够]
北往,第3集,75895,1,她有苦衷的
撕夜,第5集,10298,0,一样呗[偷笑]
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,234933,0,我前面以为那个才是三少爷
十八岁太奶奶驾到，重整家族荣耀第三部,第3集,226105,0,身上全是花[笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,100507,0,英宝！
十八岁太奶奶驾到，重整家族荣耀第三部,第2集,94420,0,[笑哭][笑哭][笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部,第1集,100242,0,帅老头耶[送花]
